timestamp,open,high,low,close,volume
2018-07-01 00:00:00,0.13783,0.14049,0.1378,0.14012,2978834.3
2018-07-01 00:15:00,0.14026,0.1405,0.13821,0.13897,2655101.1
2018-07-01 00:30:00,0.13924,0.1393,0.13711,0.13729,2448951.4
2018-07-01 00:45:00,0.13727,0.13729,0.13664,0.13671,1809782.6
2018-07-01 01:00:00,0.1367,0.13686,0.135,0.1357,1862036.7
2018-07-01 01:15:00,0.13561,0.13569,0.134,0.13515,1884202.9
2018-07-01 01:30:00,0.13546,0.13599,0.13473,0.13482,918809.3
2018-07-01 01:45:00,0.13489,0.13581,0.13476,0.1352,886800.0
2018-07-01 02:00:00,0.13511,0.13552,0.13479,0.13537,941554.0
2018-07-01 02:15:00,0.13549,0.1358,0.13451,0.13464,1028512.3
2018-07-01 02:30:00,0.13461,0.13461,0.13396,0.13436,1506430.9
2018-07-01 02:45:00,0.13436,0.13437,0.13351,0.13355,1268203.6
2018-07-01 03:00:00,0.13365,0.1343,0.13352,0.13429,1022647.0
2018-07-01 03:15:00,0.1343,0.13498,0.1343,0.13489,951372.4
2018-07-01 03:30:00,0.13491,0.13496,0.13436,0.13469,836768.6
2018-07-01 03:45:00,0.13468,0.13495,0.13448,0.13456,673576.3
2018-07-01 04:00:00,0.1346,0.1346,0.13376,0.13403,1591474.4
2018-07-01 04:15:00,0.13391,0.13398,0.13337,0.13341,1193877.5
2018-07-01 04:30:00,0.13342,0.13365,0.13303,0.13317,907316.4
2018-07-01 04:45:00,0.13317,0.13455,0.13311,0.13455,1039560.7
2018-07-01 05:00:00,0.13454,0.1349,0.13386,0.13434,942976.0
2018-07-01 05:15:00,0.13434,0.1356,0.1343,0.13556,975518.2
2018-07-01 05:30:00,0.13541,0.13574,0.1349,0.1353,1473688.9
2018-07-01 05:45:00,0.13514,0.13698,0.13514,0.13654,1915507.8
2018-07-01 06:00:00,0.1369,0.13768,0.13619,0.13651,1400723.7
2018-07-01 06:15:00,0.13673,0.13691,0.136,0.13644,933476.9
2018-07-01 06:30:00,0.1365,0.13697,0.1364,0.13668,841079.8
2018-07-01 06:45:00,0.1366,0.13675,0.13532,0.13544,2045097.9
2018-07-01 07:00:00,0.13551,0.13599,0.13484,0.13514,829670.7
2018-07-01 07:15:00,0.13514,0.13575,0.135,0.13547,907124.6
2018-07-01 07:30:00,0.13546,0.13558,0.13493,0.1355,771219.7
2018-07-01 07:45:00,0.13557,0.13577,0.13538,0.13571,813819.2
2018-07-01 08:00:00,0.13571,0.13579,0.135,0.135,700257.1
2018-07-01 08:15:00,0.135,0.13613,0.13497,0.136,979063.6
2018-07-01 08:30:00,0.13602,0.13657,0.13565,0.13615,933517.1
2018-07-01 08:45:00,0.13615,0.13695,0.13612,0.13672,1027261.3
2018-07-01 09:00:00,0.13668,0.13741,0.13651,0.13725,1425329.5
2018-07-01 09:15:00,0.1371,0.13763,0.13707,0.13712,2375662.3
2018-07-01 09:30:00,0.1374,0.13743,0.13643,0.13719,879184.5
2018-07-01 09:45:00,0.13717,0.13749,0.13643,0.13651,1409777.1
2018-07-01 10:00:00,0.13669,0.1373,0.13653,0.1373,1098674.7
2018-07-01 10:15:00,0.13722,0.13776,0.13718,0.13753,904326.0
2018-07-01 10:30:00,0.13737,0.13754,0.13709,0.13735,640546.5
2018-07-01 10:45:00,0.13737,0.141,0.13736,0.14044,2544870.2
2018-07-01 11:00:00,0.14045,0.1425,0.13965,0.14071,2730356.0
2018-07-01 11:15:00,0.14098,0.1425,0.14074,0.14178,1923022.2
2018-07-01 11:30:00,0.14185,0.14526,0.1418,0.14456,4398671.2
2018-07-01 11:45:00,0.14456,0.14516,0.141,0.14257,3000975.7
2018-07-01 12:00:00,0.14266,0.14428,0.14251,0.14274,2197598.8
2018-07-01 12:15:00,0.14262,0.14317,0.14201,0.14239,1950818.1
2018-07-01 12:30:00,0.14239,0.1424,0.14087,0.14216,2310529.8
2018-07-01 12:45:00,0.1421,0.14238,0.13978,0.13985,2369940.7
2018-07-01 13:00:00,0.13979,0.14097,0.13861,0.1405,2335649.7
2018-07-01 13:15:00,0.14027,0.14048,0.1392,0.13976,1559514.3
2018-07-01 13:30:00,0.13997,0.14132,0.13987,0.1409,1090748.8
2018-07-01 13:45:00,0.14091,0.14148,0.1398,0.1398,1522673.3
2018-07-01 14:00:00,0.13976,0.14021,0.13917,0.13969,1522337.5
